normal_angle,normal_deviation,l_CIELAB,a_CIELAB,b_CIELAB,standard_l_CIELAB,standard_a_CIELAB,standard_b_CIELAB,MIN_height,MAX_height,bounding_box_width,bounding_box_height,bounding_box_depth,bounding_box_vertical_area,bounding_box_horizontal_area,vertical_elongation,horizontal_elongation,volumeness,
1.78439,0.146102,20.6203,5.19569,9.66528,44.7451,186.668,16.4229,0.104683,0.424225,0.198518,0.319542,0.106219,0.0634347,0.0210864,1.60964,0.535062,3.00832,
1.6834,0.177432,16.7293,-5.09831,7.68844,14.8979,0.748268,1.13445,0.426285,0.776131,0.417101,0.349846,0.180297,0.145921,0.075202,0.838756,0.432262,1.94039,
2.45402,0.904407,26.672,22.7212,10.5578,468.829,142.431,43.4836,0.347313,0.45733,0.190183,0.110017,0.181936,0.0209233,0.0346011,0.578477,0.956635,0.6047,
0.463017,0.661657,14.0551,10.4804,11.9474,6.07698,277.077,17.0385,0.388061,0.501693,0.478075,0.113632,0.260242,0.0543246,0.124415,0.237686,0.544353,0.43664,
0.776323,0.152164,15.1129,5.26879,8.70924,34.0848,160.893,13.3382,0.38344,0.553192,0.309229,0.169752,0.18384,0.0524923,0.0568486,0.548954,0.594511,0.923371,
1.28822,0.235054,13.9959,-3.57882,8.35422,1.92941,22.1156,1.12049,0.387354,0.578481,0.242939,0.191127,0.13181,0.0464323,0.0320219,0.786727,0.542564,1.45002,
1.88754,0.344109,20.8228,-0.505315,8.85841,31.6914,66.8461,9.26185,0.0881042,0.332725,0.146346,0.24462,0.120596,0.0357991,0.0176487,1.67153,0.824049,2.02843,
1.61273,0.405357,53.7632,-1.46925,-1.54388,4.3198,0.273666,1.56659,0.740462,0.974915,0.242694,0.234454,0.156484,0.0569004,0.0379776,0.966046,0.644778,1.49826,
1.10604,0.0617358,50.8754,-2.02219,-0.959073,9.61627,0.666918,2.68062,0.744817,0.871719,0.205895,0.126902,0.113389,0.0261284,0.0233462,0.61634,0.55071,1.11917,
1.67411,0.308092,12.1955,-3.33441,6.33137,77.676,3.01024,6.72751,0.834634,1.13671,0.158179,0.302077,0.108706,0.0477822,0.0171949,1.90971,0.687231,2.77886,
1.63446,0.298372,19.5281,-4.50127,6.59883,88.5133,2.03817,6.32389,0.831732,0.999576,0.2295,0.167844,0.0601561,0.0385202,0.0138058,0.731345,0.262118,2.79014,
